Species,Platform,Name,Assays,Casey's Y/N as of 2/8,Proc
homo sapiens,A-AFFY-44,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],136563,Y,Affy Processor (Brainarray)
mus musculus,A-AFFY-45,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],54903,Y,Affy Processor (Brainarray)
rattus norvegicus,A-AFFY-43,Affymetrix GeneChip Rat Genome 230 2.0 [Rat230_2],46151,Y,Affy Processor (Brainarray)
homo sapiens,A-AFFY-33,Affymetrix GeneChip Human Genome HG-U133A [HG-U133A],44057,Y,Affy Processor (Brainarray)
homo sapiens,A-AGIL-28,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),30665,N,
homo sapiens,A-AFFY-141,Affymetrix GeneChip Human Gene 1.0 ST Array [HuGene-1_0-st-v1],30173,Y,Affy Processor (Brainarray)
mus musculus,A-AFFY-130,Affymetrix GeneChip Mouse Gene 1.0 ST Array [MoGene-1_0-st-v1],23613,Y,Affy Processor (Brainarray)
homo sapiens,A-AFFY-143,"Affymetrix GeneChip Human Exon 1.0 ST Array version 1, [HuEx-1_0-st-v1]",17778,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-1171,Illumina HumanHT-12 v3.0 Expression BeadChip,17673,Y,Piccolo Illumina Processor
arabidopsis thaliana,A-AFFY-2,Affymetrix GeneChip Arabidopsis Genome [ATH1-121501],17201,Y,Affy Processor (Brainarray)
homo sapiens,A-AFFY-37,Affymetrix GeneChip Human Genome U133A 2.0 [HG-U133A_2],13851,Y,Affy Processor (Brainarray)
mus musculus,A-MEXP-724,Agilent Whole Mouse Genome Microarray 4x44K 014868 G4122F (annotation from 02.2007),13761,N,
saccharomyces cerevisiae,A-GEOD-11232,A-UMCU-Y16k-1.3,8422,N,
homo sapiens,A-GEOD-13667,[HG-U219] Affymetrix Human Genome U219 Array,7955,Y,Affy Processor (Brainarray)
mus musculus,A-AFFY-36,Affymetrix GeneChip Mouse Genome 430A 2.0 [Mouse430A_2],7709,Y,Affy Processor (Brainarray)
homo sapiens,A-AFFY-34,Affymetrix GeneChip Human Genome HG-U133A [HG-U133A],7340,Y,Affy Processor (Brainarray)
Multiple,A-AFFY-33,Affymetrix GeneChip Human Genome HG-U133A [HG-U133A],6007,Y,Affy Processor (Brainarray)
saccharomyces cerevisiae,A-UMCU-10,"UMC Utrecht S. cerevisiae 16K array, version 1.3",5804,N,
drosophila melanogaster,A-AFFY-35,Affymetrix GeneChip Drosophila Genome 2.0 Array [Drosophila_2],5199,Y,Affy Processor (Brainarray)
homo sapiens,A-AFFY-113,Affymetrix GeneChip HT Human Genome U133A HT_HG-U133A,5015,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-13158,[HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,4925,Y,Affy Processor (Brainarray)
mus musculus,A-AFFY-6,Affymetrix GeneChip Murine Genome U74Av2 [MG_U74Av2],4887,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-18032,Nanostring nCounter ImmVar DC Custom CodeSet,4882,N,
homo sapiens,A-GEOD-18941,3D-Gene Human miRNA V20_1.0.0,4731,N,
saccharomyces cerevisiae,A-AFFY-47,Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2],4375,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-10558,Illumina HumanHT-12 V4.0 expression beadchip,4254,Y,Piccolo Illumina Processor
homo sapiens,A-GEOD-11532,[HuGene-1_1-st] Affymetrix Human Gene 1.1 ST Array [transcript (gene) version],4167,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-14550,Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version),4077,N,
homo sapiens,A-AFFY-168,Affymetrix GeneChip Human Gene 1.1 ST Array [HuGene-1_1-st-v1],3897,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-10379,Rosetta/Merck Human RSTA Custom Affymetrix 2.0 microarray,3866,??,Unknown if this is on Brainarray
homo sapiens,A-AFFY-41,Affymetrix GeneChip Human Genome Focus Array [HG-Focus],3833,Y,Affy Processor (Brainarray)
mus musculus,A-GEOD-8759,[HT_MG-430A] Affymetrix HT Mouse Genome 430A Array,3823,N,
homo sapiens,A-GEOD-22085,Broad Institute Human L1000 landmark,3738,N,"We should do this b/c its drug perturbations and will grow substantially, but no proc yet"
rattus norvegicus,A-GEOD-5426,"GE Healthcare/Amersham Biosciences CodeLink UniSet Rat I Bioarray, layout EXP5280X2-584",3584,N,
sus scrofa,A-AFFY-75,Affymetrix GeneChip Porcine Genome Array [Porcine],3553,Y,Affy Processor (Brainarray)
mus musculus,A-AFFY-98,Affymetrix GeneChip Mouse Exon 1.0 ST Array [MoEx-1_0-st-v1],3471,Y,Affy Processor (Brainarray)
mus musculus,A-AFFY-23,Affymetrix GeneChip Mouse Expression Array MOE430A [MOE430A],3117,Y,Affy Processor (Brainarray)
mus musculus,A-GEOD-10787,Agilent-028005 Mouse Gene Expression 8x60K Microarray (G4852A),3090,N,
rattus norvegicus,A-MEXP-784,Agilent Whole Rat Genome Microarray 4x44K 014879 G4131F,2945,N,
pimephales promelas,A-GEOD-10259,Agilent-019597 custom fathead minnow 60mer (8x15k),2845,N,
homo sapiens,A-AGIL-9,Agilent Human 1A Microarray (V2) 012097 G4110B,2743,N,
homo sapiens,A-GEOD-8786,[miRNA-1_0] Affymetrix miRNA Array,2740,Maybe?,Not sure if this is on brainarray
rattus norvegicus,A-AFFY-25,Affymetrix GeneChip Rat Expression Array RAE230A [RAE230A],2739,Y,Affy Processor (Brainarray)
mus musculus,A-MEXP-1175,Illumina MouseWG-6 v2.0 Expression BeadChip,2714,Y,Piccolo Illumina Processor
mus musculus,A-GEOD-11533,[MoGene-1_1-st-v1] Affymetrix Mouse Gene 1.1 ST Array [transcript (gene) version],2711,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-930,Illumina Human-6 v2 Expression BeadChip,2708,Y,Piccolo Illumina Processor
homo sapiens,A-AFFY-1,Affymetrix GeneChip Human Genome U95Av2 [HG_U95Av2],2677,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-2210,Illumina HumanHT-12_V4_0_R1_15002873_B,2633,Y,Piccolo Illumina Processor
homo sapiens,A-AGIL-11,Agilent Whole Human Genome Oligo Microarray 012391 G4112A,2592,N,
mus musculus,A-GEOD-16570,[MoGene-2_0-st] Affymetrix Mouse Gene 2.0 ST Array [transcript (gene) version],2562,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-2072,Illumina HumanHT-12_V4_0_R2_15002873_B,2503,Y,Piccolo Illumina Processor
rattus norvegicus,A-GEOD-5424,"GE Healthcare/Amersham Biosciences CodeLink UniSet Rat I Bioarray, layout EXP5280X2-584",2451,N,
saccharomyces cerevisiae,A-AFFY-27,Affymetrix GeneChip Yeast Genome S98 [YG_S98],2421,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-17077,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Probe Name version),2336,N,
rattus norvegicus,A-GEOD-6247,[RaGene-1_0-st] Affymetrix Rat Gene 1.0 ST Array,2259,Y,Affy Processor (Brainarray)
rattus norvegicus,A-AFFY-18,Affymetrix GeneChip Rat Genome U34A [RG_U34A],2152,Y,Affy Processor (Brainarray)
caenorhabditis elegans,A-AFFY-60,Affymetrix GeneChip C. elegans Genome Array [Celegans],2136,Y,Affy Processor (Brainarray)
mus musculus,A-GEOD-13912,Agilent-028005 SurePrint G3 Mouse GE 8x60K Microarray (Feature Number version),2130,N,
mus musculus,A-GEOD-6867,NIA Mouse 44K Microarray v3.0 (Whole Genome 60-mer Oligo) [Agilent 015087],2115,N,
rattus norvegicus,A-GEOD-5425,"GE Healthcare/Amersham Biosciences CodeLink UniSet Rat I Bioarray, layout EXP5280X2-584",2092,N,
rattus norvegicus,A-GEOD-8576,CERI Rat 6.7K ToxArrayIII,2082,N,
homo sapiens,A-GEOD-14613,[miRNA-2_0] Affymetrix Multispecies miRNA-2_0 Array,2047,Maybe?,Not sure if this is on brainarray
homo sapiens,A-GEOD-8227,Agilent-019118 Human miRNA Microarray 2.0 G4470B (GeneView version),2043,N,
rattus norvegicus,A-GEOD-5425,Unknown!,2041,N,
